@RELATION us_county_election_2020_svm

@ATTRIBUTE votes_gop     NUMERIC
@ATTRIBUTE votes_dem     NUMERIC
@ATTRIBUTE total_votes   NUMERIC
@ATTRIBUTE winner        {GOP, DEM}

@DATA
5664,725,6438,GOP
3633,1074,4782,GOP
27356,15581,43957,GOP
4174,1214,5447,GOP
6113,2722,8928,GOP
13297,4071,17603,GOP
3496,403,3936,GOP
5477,2362,7958,GOP
10185,3632,14113,GOP
2311,750,3102,GOP
8506,3033,11735,GOP
3959,975,5012,GOP
4628,657,5330,GOP
8993,3630,12842,GOP
4301,1175,5544,GOP
10497,3545,14235,GOP
15703,7188,23256,GOP
2408,955,3396,GOP
8582,2404,11129,GOP
22654,14505,37976,GOP
4292,1098,5458,GOP
1671,216,1896,GOP
5515,1322,6925,GOP
8129,2356,10626,GOP
20284,4866,25395,GOP
4041,1367,5505,GOP
25442,5666,31557,GOP
884,253,1146,GOP
6577,1134,7784,GOP
5994,3880,10065,GOP
7519,1331,8955,GOP
17767,10567,28969,GOP
15055,8077,23550,GOP
5888,2681,8732,GOP
8737,2530,11433,GOP
9376,2963,12517,GOP
4062,1205,5363,GOP
5487,1791,7376,GOP
3227,1012,4320,GOP
4965,1529,6577,GOP
31791,22479,55401,GOP
4482,1644,6225,GOP
7430,1700,9240,GOP
4506,1412,5993,GOP
12567,2552,15356,GOP
2097,839,2979,GOP
8362,6530,15211,GOP
22596,5443,28425,GOP
7574,2108,9810,GOP
40687,20399,62325,GOP
7271,3833,11235,GOP
12028,4979,17292,GOP
13575,2542,16357,GOP
3891,3067,7050,GOP
38074,15662,54655,GOP
48021,55110,104912,DEM
55066,25982,82663,GOP
3976,745,4762,GOP
3671,324,4039,GOP
3541,1269,4858,GOP
3770,2731,6580,GOP
5550,3177,8828,GOP
9112,5457,14736,GOP
88420,115577,208182,DEM
1080,1900,3036,DEM
6064,4280,10509,GOP
11053,4158,15412,GOP
6970,2658,9720,GOP
8117,1157,9392,GOP
21251,11027,32713,GOP
7893,8514,16719,DEM
5394,2143,7632,GOP
105949,84477,193733,GOP
11423,3208,14841,GOP
72519,39685,114521,GOP
36024,8672,45388,GOP
6378,638,7077,GOP
11311,7559,19275,GOP
54877,9249,65230,GOP
1930,2654,4670,DEM
6510,4946,11574,GOP
9358,6896,16554,GOP
26664,147854,177819,DEM
42255,25913,69166,GOP
7412,3414,11014,GOP
7503,4683,12371,GOP
38347,19475,58865,GOP
2413,1644,4132,GOP
6607,3225,9940,GOP
8776,1731,10596,GOP
11179,6151,17650,GOP
18233,9800,28517,GOP
2714,3346,6158,DEM
5954,6510,12590,DEM
7538,13582,21432,DEM
23171,17372,41154,GOP
18203,8439,27038,GOP
14811,8055,23186,GOP
99666,37746,140110,GOP
37806,18887,57661,GOP
1197,1329,2554,DEM
34339,11198,46240,GOP
8407,2654,11201,GOP
21930,5009,27324,GOP
14107,2898,17268,GOP
13307,5970,19513,GOP
11830,6172,18216,GOP
7684,6200,14097,GOP
4317,710,5052,GOP
3863,2298,6268,GOP
4619,1543,6225,GOP
29268,27617,58707,GOP
21080,13956,35746,GOP
59584,128759,193765,DEM
8754,8069,17390,GOP
14982,19369,35325,DEM
34721,34902,71858,DEM
9982,15110,25734,DEM
10256,12684,23594,DEM
17698,14755,33492,GOP
44825,37713,85269,GOP
6143,3517,9908,GOP
9755,13528,24038,DEM
16644,10199,27578,GOP
11196,12345,24320,DEM
10194,6761,17357,GOP
54817,71189,129659,DEM
20886,9158,30641,GOP
127821,172823,309617,DEM
146202,258409,414932,DEM
25346,22587,49112,GOP
10283,5095,15794,GOP
60218,36456,100327,GOP
29439,16809,47462,GOP
25579,62171,89498,DEM
8764,6857,15977,GOP
63682,77675,145615,DEM
12002,3281,15611,GOP
80930,63095,148186,GOP
48390,129433,183062,DEM
5195,5329,10794,DEM
101222,419569,533743,DEM
37090,379208,424855,DEM
18741,10709,30290,GOP
30826,23138,55665,GOP
5739,4241,10147,GOP
10946,11062,22555,DEM
40224,26044,67779,GOP
22944,22054,46216,GOP
18571,12560,31691,GOP
25374,207260,237461,DEM
55311,91994,150325,DEM
18064,51705,71375,DEM
119872,153377,279279,DEM
2631,9914,12798,DEM
144837,267198,421210,DEM
11201,30030,42458,DEM
87318,125948,218177,DEM
22281,63362,87854,DEM
226956,617196,863577,DEM
1914,5241,7306,DEM
125294,273312,407751,DEM
121227,173630,301816,DEM
58613,270522,335462,DEM
171683,248773,432014,DEM
4848,2142,7064,GOP
3014,2053,5128,GOP
41392,24449,67094,GOP
10686,6000,16969,GOP
9748,5960,15949,GOP
5928,2774,8831,GOP
2512,1478,4038,GOP
23471,11797,35905,GOP
33125,26151,60255,GOP
6601,5480,12262,GOP
43519,37438,82391,GOP
14064,6159,20536,GOP
36221,28877,66281,GOP
16699,9130,26216,GOP
9841,6939,17000,GOP
10186,5437,15868,GOP
10681,6648,17642,GOP
10861,5199,16281,GOP
25098,21968,47927,GOP
5087,2672,7861,GOP
13207,7606,21151,GOP
9617,4744,14589,GOP
31798,31299,64327,GOP
12135,9662,22177,GOP
98714,119390,221360,DEM
9893,4524,14603,GOP
4600,3570,8266,GOP
30502,28683,60236,GOP
12102,6693,19127,GOP
17037,5883,23302,GOP
10378,7750,18501,GOP
12731,5490,18437,GOP
47639,94212,144550,DEM
20657,10901,32209,GOP
9759,5373,15363,GOP
4216,2493,6789,GOP
14815,14072,29421,GOP
47372,31995,80861,GOP
56823,83686,143414,DEM
7436,3002,10631,GOP
165741,187915,361048,DEM
862,672,1557,GOP
3946,2288,6323,GOP
35482,16367,52650,GOP
7916,8795,16900,DEM
31541,20918,53375,GOP
76982,48220,127197,GOP
2109,842,3001,GOP
4304,2632,7015,GOP
263863,223952,494256,GOP
8321,6107,14655,GOP
16286,20465,37462,DEM
10207,6802,17254,GOP
13267,7375,21049,GOP
8117,4316,12607,GOP
27675,20493,49088,GOP
6648,1967,8755,GOP
52710,32975,87148,GOP
21815,9703,32100,GOP
4171,1628,5859,GOP
45133,45643,92444,DEM
18857,7873,27161,GOP
325971,434148,770351,DEM
8892,4944,14062,GOP
8253,3475,11907,GOP
2358,1391,3804,GOP
8928,3214,12329,GOP
3466,1342,4874,GOP
9779,4743,14757,GOP
100913,64705,168713,GOP
5342,2911,8344,GOP
9670,5166,15018,GOP
50785,51088,103349,DEM
59185,31363,92064,GOP
18127,9262,27936,GOP
16194,5966,22446,GOP
3090,1589,4745,GOP
23149,15347,39224,GOP
20297,8712,29445,GOP
21591,16803,39066,GOP
56241,157136,216418,DEM
264553,597170,872469,DEM
12102,5838,18265,GOP
6258,3607,10025,GOP
104902,100893,211132,GOP
12438,6589,19401,GOP
12188,11426,24189,GOP
14382,7280,22260,GOP
1863,1053,2974,GOP
16731,18330,36051,DEM
9552,4753,14635,GOP
9791,10098,20369,DEM
34009,30774,66361,GOP
11620,6342,18289,GOP
4250,2226,6611,GOP
21916,11806,34570,GOP
15043,16357,32239,DEM
3372,1260,4708,GOP
1203,2496,3806,DEM
4165,1834,6107,GOP
25676,13726,40173,GOP
109638,146155,262259,DEM
7783,4079,12187,GOP
15799,7868,24165,GOP
5191,2531,7914,GOP
7301,4551,12141,GOP
9578,6889,16818,GOP
16052,11806,28636,GOP
2269,1300,3654,GOP
205973,532623,755969,DEM
6334,4853,11440,GOP
8202,4462,12965,GOP
16491,7138,24235,GOP
15239,10786,26561,GOP
3948,1745,5819,GOP
6278,2774,9242,GOP
14437,8440,23367,GOP
1546,1006,2639,GOP
4131,2659,6922,GOP
2528,1446,4040,GOP
3393,3647,7202,DEM
1704,671,2408,GOP
10775,5672,16818,GOP
2121,937,3115,GOP
7979,4634,12893,GOP
13986,6413,20933,GOP
1142,1112,2304,GOP
3721,1295,5113,GOP
7480,3305,11009,GOP
9359,3867,13529,GOP
9952,4404,14689,GOP
14821,4367,19558,GOP
10025,8899,19345,GOP
3363,1449,4896,GOP
9018,9622,19125,DEM
5600,2933,8715,GOP
1953,1404,3441,GOP
39692,49491,91385,DEM
23800,11958,36399,GOP
4532,2568,7277,GOP
10256,5419,16001,GOP
3553,1306,4940,GOP
9865,5439,15594,GOP
4417,2477,7022,GOP
77376,211620,295977,DEM
1454,691,2196,GOP
5771,2355,8284,GOP
5467,2496,8128,GOP
17464,17402,35686,GOP
3583,1556,5240,GOP
6065,2188,8421,GOP
49017,67704,119531,DEM
45872,40040,87965,GOP
36222,18065,55612,GOP
5864,2417,8452,GOP
50959,31879,84835,GOP
12656,7917,21128,GOP
3044,1922,5085,GOP
3316,1784,5193,GOP
9753,3286,13257,GOP
1172,661,1864,GOP
8153,4696,13123,GOP
5520,2023,7677,GOP
6624,3496,10389,GOP
73764,89165,166786,DEM
3103,1987,5201,GOP
2328,1026,3430,GOP
13227,13333,27173,DEM
51973,28430,82426,GOP
3734,1688,5528,GOP
5696,7917,13759,DEM
12818,2782,15811,GOP
4503,2620,7207,GOP
5178,3542,8832,GOP
2570,1679,4292,GOP
4671,8904,13755,DEM
4625,1902,6595,GOP
3924,1729,5705,GOP
4175,3810,8148,GOP
3001,1185,4225,GOP
603,3772,4453,DEM
5417,2838,8347,GOP
4181,5844,10206,DEM
2375,6020,8507,DEM
6250,6470,12897,DEM
5854,3416,9371,GOP
46462,28265,76248,GOP
17290,13755,31725,GOP
2923,1480,4464,GOP
9713,1218,11064,GOP
4794,966,5816,GOP
6081,4734,10919,GOP
16132,4504,20957,GOP
46822,27728,75865,GOP
25141,73550,100191,DEM
1369,6588,8115,DEM
1118,3016,4189,DEM
308,355,676,DEM
9438,1249,10826,GOP
36295,17375,54623,GOP
4302,4341,8742,DEM
531,3327,3911,DEM
2534,3599,6213,DEM
21226,8517,30091,GOP
1787,2887,4732,DEM
12949,10070,23481,GOP
20704,7340,28526,GOP
17967,12960,31266,GOP
4285,2260,6617,GOP
5228,3897,9204,GOP
24207,12189,37003,GOP
3129,7648,10893,DEM
11596,5040,16818,GOP
13800,13087,27273,GOP
31091,24440,56335,GOP
8273,3787,12194,GOP
7566,8057,15830,DEM
11177,5874,17279,GOP
2917,2121,5078,GOP
8320,3260,11720,GOP
6997,3075,10189,GOP
1240,4040,5341,DEM
9004,10299,19812,DEM
8060,7403,15635,GOP
19595,4148,24056,GOP
4500,1362,5922,GOP
8479,8646,17360,DEM
11550,2614,14377,GOP
8370,2153,10661,GOP
1026,2150,3229,DEM
50895,18847,70655,GOP
6285,4330,10744,GOP
688,1465,2183,DEM
7635,4037,11820,GOP
6458,1791,8327,GOP
5964,1802,7878,GOP
2799,6781,9683,DEM
2488,3105,5691,DEM
8707,4183,13101,GOP
8054,1937,10102,GOP
7933,1059,9147,GOP
926,2580,3565,DEM
10373,2160,12683,GOP
4220,2835,7122,GOP
10365,10442,21056,DEM
5300,12503,18025,DEM
6307,3624,10065,GOP
4291,1043,5402,GOP
1324,2749,4130,DEM
5112,4040,9244,GOP
3671,2785,6538,GOP
4832,5496,10441,DEM
6413,3710,10336,GOP
7255,2351,9752,GOP
2199,564,2814,GOP
7732,2704,10656,GOP
12425,2948,15598,GOP
5168,844,6077,GOP
6597,1672,8416,GOP
8109,2180,10476,GOP
5167,750,5983,GOP
38646,50064,91168,DEM
22450,13445,36598,GOP
14602,3301,18141,GOP
3725,897,4682,GOP
14815,5870,21144,GOP
18850,5652,24812,GOP
28907,10760,40328,GOP
3706,786,4532,GOP
2451,418,2897,GOP
37197,19052,57408,GOP
5788,1145,7044,GOP
3111,916,4077,GOP
34920,11131,46839,GOP
2672,678,3394,GOP
64605,59400,126569,GOP
7799,2896,10888,GOP
26086,12694,39529,GOP
6272,2249,8693,GOP
8725,2113,10973,GOP
3414,656,4119,GOP
6619,1380,8104,GOP
3102,746,3911,GOP
3828,930,4843,GOP
5987,1056,7142,GOP
5898,1016,7000,GOP
8135,2200,10419,GOP
38058,14569,53685,GOP
6222,1601,7923,GOP
2581,613,3237,GOP
83630,55068,141800,GOP
3585,799,4437,GOP
3198,597,3826,GOP
8027,2619,10788,GOP
3966,1056,5080,GOP
1976,338,2343,GOP
3553,1413,5092,GOP
15181,3218,18650,GOP
3596,945,4592,GOP
126535,199842,333063,DEM
37728,13549,52352,GOP
77046,37523,116688,GOP
15489,6974,23123,GOP
1486,340,1854,GOP
13762,2780,16793,GOP
12273,4472,17055,GOP
14426,3214,17905,GOP
3553,984,4609,GOP
21848,6607,29018,GOP
4363,1275,5726,GOP
5267,1410,6758,GOP
7465,1439,9053,GOP
6076,1662,7836,GOP
4584,1019,5676,GOP
3892,814,4771,GOP
9915,3202,13348,GOP
1541,222,1779,GOP
10176,2038,12382,GOP
3537,1178,4756,GOP
5744,1308,7157,GOP
3477,936,4483,GOP
4465,1208,5772,GOP
7442,1924,9487,GOP
5447,1748,7250,GOP
22120,5818,28405,GOP
6865,2853,9893,GOP
3847,823,4739,GOP
6425,1037,7539,GOP
4064,752,4864,GOP
4120,1560,5735,GOP
7657,1664,9447,GOP
13854,4783,19097,GOP
13480,5637,19568,GOP
5863,1717,7695,GOP
28917,27179,57270,GOP
11850,2885,15064,GOP
10329,3740,14414,GOP
1984,361,2361,GOP
4396,1205,5662,GOP
8018,2485,10744,GOP
8345,3109,11649,GOP
2733,529,3298,GOP
4839,833,5717,GOP
128389,89530,222017,GOP
3932,988,4974,GOP
6630,2713,9484,GOP
20511,7044,28001,GOP
199493,328151,536446,DEM
6451,2904,9519,GOP
1606,373,2003,GOP
1560,388,1984,GOP
13769,3753,17719,GOP
3165,706,3906,GOP
2700,592,3350,GOP
11484,1819,13426,GOP
14800,3506,18483,GOP
1974,478,2471,GOP
20508,5339,26288,GOP
9478,1716,11315,GOP
7155,1903,9185,GOP
13222,4769,18375,GOP
8047,1804,9976,GOP
4987,845,5878,GOP
14880,3573,18779,GOP
877,215,1107,GOP
7453,1168,8739,GOP
21474,110089,133867,DEM
3923,1608,5661,GOP
2207,2491,4784,DEM
1469,1589,3117,DEM
3173,835,4097,GOP
4468,2421,7101,GOP
775,74,864,GOP
23315,15456,39885,GOP
1891,991,2974,GOP
4205,1514,5883,GOP
799,195,1014,GOP
3758,962,4837,GOP
2186,2562,4891,DEM
1375,172,1575,GOP
4869,1496,6531,GOP
38321,20274,60258,GOP
31696,37044,71507,DEM
764,41,813,GOP
1884,3610,5639,DEM
414,78,503,GOP
1419,638,2102,GOP
3957,2981,7182,GOP
5345,2625,8191,GOP
1040,275,1344,GOP
9322,6916,16626,GOP
21409,19743,42485,GOP
821,249,1083,GOP
8672,2835,11747,GOP
956,155,1128,GOP
4191,1771,6113,GOP
833,258,1110,GOP
1828,686,2563,GOP
26347,43357,71986,DEM
2423,413,2881,GOP
6025,5280,11618,GOP
298,39,351,GOP
1936,416,2386,GOP
2031,903,2995,GOP
970,154,1136,GOP
2355,752,3195,GOP
603,126,744,GOP
19114,8763,28507,GOP
4800,875,5798,GOP
1996,1910,4028,GOP
2486,1199,3784,GOP
5660,1820,7652,GOP
1403,574,2030,GOP
7745,10392,18827,DEM
4462,1156,5741,GOP
1840,549,2446,GOP
2608,1007,3695,GOP
1596,467,2123,GOP
373,78,460,GOP
3135,1030,4272,GOP
823,225,1068,GOP
516,77,598,GOP
50772,30679,83821,GOP
10085,4213,14653,GOP
3093,452,3583,GOP
260,21,285,GOP
362,43,411,GOP
280,35,317,GOP
2653,499,3226,GOP
4002,1051,5200,GOP
1010,135,1155,GOP
1470,191,1684,GOP
16640,6350,23711,GOP
2580,1063,3739,GOP
3542,873,4518,GOP
10121,4737,15326,GOP
4174,725,5015,GOP
1740,226,2000,GOP
2844,373,3269,GOP
3813,855,4776,GOP
2848,632,3570,GOP
2636,1025,3726,GOP
3507,870,4459,GOP
5090,786,6010,GOP
3926,2744,6817,GOP
2931,1082,4151,GOP
6524,2497,9191,GOP
871,141,1034,GOP
2335,651,3094,GOP
10984,5544,16938,GOP
119159,150350,276540,DEM
883,105,1003,GOP
2359,693,3148,GOP
1437,276,1728,GOP
1229,189,1446,GOP
2163,399,2602,GOP
7445,3385,11119,GOP
1016,161,1200,GOP
933,133,1076,GOP
893,215,1121,GOP
375,20,402,GOP
1016,229,1259,GOP
16189,7681,24450,GOP
4309,1118,5566,GOP
1615,282,1934,GOP
494,34,536,GOP
1264,175,1470,GOP
4769,686,5550,GOP
376,59,442,GOP
2786,648,3511,GOP
2616,1016,3730,GOP
1518,647,2233,GOP
2822,701,3617,GOP
3544,763,4369,GOP
476,49,530,GOP
1563,268,1877,GOP
3721,905,4708,GOP
70092,82293,157215,DEM
13071,3692,17163,GOP
407,38,450,GOP
370,75,454,GOP
275,17,302,GOP
11940,3478,15819,GOP
3419,743,4282,GOP
2113,386,2558,GOP
1437,359,1832,GOP
2428,921,3432,GOP
1857,409,2305,GOP
5649,2490,8355,GOP
1071,322,1429,GOP
1321,199,1545,GOP
4157,752,5021,GOP
3462,480,4012,GOP
12186,3260,15721,GOP
2291,530,2887,GOP
4525,811,5470,GOP
3073,996,4134,GOP
744,84,842,GOP
3631,1986,5780,GOP
51979,41206,96193,GOP
9108,3331,12786,GOP
10952,4196,15524,GOP
6490,2438,9199,GOP
2292,340,2684,GOP
1322,343,1700,GOP
642,72,731,GOP
2561,532,3165,GOP
2308,624,2989,GOP
377,45,427,GOP
1180,1122,2379,GOP
1901,412,2344,GOP
8583,3554,12467,GOP
3055,1022,4218,GOP
1511,335,1876,GOP
438,59,503,GOP
5337,1630,7161,GOP
9372,3051,12890,GOP
430930,521852,972510,DEM
21630,11571,34125,GOP
16741,4557,21967,GOP
400,74,487,GOP
895,105,1017,GOP
5877,1689,7771,GOP
2198,496,2765,GOP
2067,330,2446,GOP
20914,8473,30238,GOP
1423,829,2335,GOP
17528,7288,25378,GOP
1731,547,2320,GOP
1908,902,2877,GOP
116760,128128,252142,DEM
3403,859,4369,GOP
16113,12735,29739,GOP
20899,16894,38453,GOP
16150,16649,33272,DEM
17892,25506,44206,DEM
8617,7640,16528,GOP
19905,33180,53989,DEM
104625,122344,231040,DEM
39711,48533,89887,DEM
95858,100064,198943,DEM
30489,41721,73729,DEM
11508,12390,24383,DEM
64438,73808,140441,DEM
204417,285967,497460,DEM
103345,154595,262650,DEM
86207,175065,265599,DEM
33158,23941,57933,GOP
28952,32742,62575,DEM
75475,266820,345311,DEM
83340,86702,173453,DEM
65698,181452,250458,DEM
43153,39457,84673,GOP
51641,122532,177223,DEM
143467,226250,375692,DEM
191808,181291,378390,GOP
141134,153881,300917,DEM
217740,119456,342746,GOP
92009,129097,224330,DEM
18827,14479,34042,GOP
71996,111173,186891,DEM
51698,34481,88352,GOP
80002,170245,254041,DEM
34769,24901,61057,GOP
116135,193757,317590,DEM
1698,595,2326,GOP
15656,6381,22443,GOP
3975,4745,8903,DEM
3271,2611,6016,GOP
10444,4307,15101,GOP
656,231,901,GOP
32802,47957,82641,DEM
17454,5424,23222,GOP
6553,7590,14435,DEM
917,1234,2189,DEM
319,179,505,GOP
1120,823,1974,GOP
16531,4061,20918,GOP
6942,3194,10306,GOP
4278,7554,12293,DEM
4408,3563,8103,GOP
7801,18029,26486,DEM
903,1745,2686,DEM
14521,8485,23571,GOP
2634,1170,3873,GOP
5408,10990,16628,DEM
4634,1802,6608,GOP
34174,40588,76562,DEM
32874,18083,52294,GOP
3421,7888,11531,DEM
18329,62530,82227,DEM
3542,2265,5945,GOP
3255,3722,7160,DEM
3715,13121,17181,DEM
4772,2344,7281,GOP
1388,383,1789,GOP
17364,14263,32277,GOP
51081,99474,154101,DEM
14135,6048,20782,GOP
67740,355374,425715,DEM
43800,47010,92794,DEM
22155,11879,34845,GOP
19512,16149,36421,GOP
34853,23087,59304,GOP
21922,16636,39410,GOP
13482,8290,22282,GOP
16514,18364,35437,DEM
14464,20386,35522,DEM
10789,10369,21678,GOP
13387,9143,23025,GOP
66872,81443,151122,DEM
197527,267174,473021,DEM
8976,9947,19259,DEM
9668,9253,19268,GOP
15378,7931,23744,GOP
18876,9625,29217,GOP
14271,10346,25194,GOP
2225,1178,3460,GOP
18870,9937,29319,GOP
25629,17307,43848,GOP
202772,703310,913246,DEM
8894,3824,12944,GOP
18182,12477,31401,GOP
18408,14807,34038,GOP
145661,225746,380983,DEM
12745,7977,21134,GOP
326716,396504,732756,DEM
85185,603040,694904,DEM
56068,46029,104080,GOP
57180,41567,100746,GOP
90619,138894,234735,DEM
29039,29025,59674,GOP
84996,84684,172099,GOP
12126,5587,18154,GOP
32138,21143,54491,GOP
14382,12975,28008,GOP
29283,24953,54989,GOP
212665,569038,787860,DEM
36500,40969,79409,DEM
123320,90997,216153,GOP
73186,75802,150369,DEM
24608,19361,44907,GOP
61305,68471,132655,DEM
30741,42465,74826,DEM
9903,5345,15710,GOP
5621,3903,9766,GOP
8329,6914,15630,GOP
29474,15790,46178,GOP
381253,381021,771541,GOP
18665,15489,34647,GOP
14791,9634,25044,GOP
11096,33619,45735,DEM
37590,57970,97420,DEM
17699,17642,36131,GOP
15941,11565,28138,GOP
26204,17456,44714,GOP
144713,312371,462122,DEM
13898,5073,19399,GOP
6208,4219,10701,GOP
46056,38825,86091,GOP
15888,4145,20236,GOP
4527,1486,6076,GOP
5321,5789,11194,DEM
11451,4164,15814,GOP
7172,2191,9458,GOP
16437,9633,26315,GOP
3817,5939,9815,DEM
9676,7326,17125,GOP
55850,33310,90175,GOP
62412,96515,161569,DEM
31019,13118,44602,GOP
63237,52162,117227,GOP
32119,10245,42829,GOP
4312,1537,5953,GOP
30028,12093,42695,GOP
7089,4860,12051,GOP
56588,25689,83425,GOP
21186,26787,48599,DEM
12628,3583,16423,GOP
4471,3247,7784,GOP
5112,1699,6893,GOP
33798,16955,51308,GOP
16832,9446,26446,GOP
31032,21148,53065,GOP
60032,84469,147150,DEM
11657,4195,16147,GOP
13938,9936,24232,GOP
64658,22636,88514,GOP
18228,6713,25311,GOP
13793,8767,22715,GOP
32459,144688,179914,DEM
9206,16089,25477,DEM
85064,113033,201270,DEM
20901,15879,37351,GOP
73033,40959,115498,GOP
3367,2546,5971,GOP
3710,905,4665,GOP
16647,14565,31598,GOP
4874,3832,8753,GOP
107294,173086,284486,DEM
10080,15545,25759,DEM
35177,22093,58293,GOP
22834,13144,36542,GOP
40032,27211,68371,GOP
3479,7097,10634,DEM
9453,11804,21639,DEM
1418,1046,2492,GOP
67010,33888,102371,GOP
11356,9591,21428,GOP
68353,41257,111357,GOP
3280,2197,5525,GOP
16469,12143,29008,GOP
14590,13605,28409,GOP
36341,13274,50217,GOP
16883,5832,23003,GOP
14211,6230,20743,GOP
7979,4901,13076,GOP
6532,5911,12540,GOP
179211,378107,567053,DEM
7090,1867,9041,GOP
8411,4327,12849,GOP
36764,20779,58339,GOP
25827,25947,52271,DEM
63331,66138,131830,DEM
3989,6069,10109,DEM
46078,24266,72235,GOP
20176,63594,84997,DEM
4849,2713,7631,GOP
9770,9832,19897,DEM
21956,11723,34169,GOP
4903,2492,7484,GOP
13184,8465,21894,GOP
38982,47252,87573,DEM
7689,4518,12358,GOP
56894,15618,73316,GOP
11830,8754,20763,GOP
27806,19020,47188,GOP
31301,15992,47809,GOP
49297,23114,73408,GOP
24891,9135,34429,GOP
17411,10966,28618,GOP
7473,7186,14775,GOP
25458,8129,33939,GOP
20142,5286,25701,GOP
27538,8721,36638,GOP
4161,2780,7068,GOP
11636,8444,20404,GOP
1044,758,1817,GOP
80382,48725,131011,GOP
8391,12431,20999,DEM
226197,393336,631830,DEM
3752,6400,10293,DEM
2781,3396,6205,DEM
14451,17122,32220,DEM
30709,24215,55537,GOP
27592,7511,35466,GOP
19581,20754,40735,DEM
15933,3763,19923,GOP
7516,3688,11352,GOP
981,258,1269,GOP
3568,1820,5565,GOP
1094,822,1961,GOP
541,72,635,GOP
2575,821,3471,GOP
1395,228,1657,GOP
994,137,1155,GOP
34744,14348,50753,GOP
42619,40311,86053,GOP
1499,474,2020,GOP
1742,608,2424,GOP
904,265,1202,GOP
1951,342,2338,GOP
854,383,1261,GOP
1738,237,2009,GOP
1362,373,1778,GOP
871,137,1026,GOP
16987,12880,30970,GOP
1145,207,1381,GOP
907,308,1250,GOP
1091,196,1312,GOP
1215,221,1460,GOP
1645,527,2219,GOP
930,128,1076,GOP
2364,564,3003,GOP
1153,261,1455,GOP
4482,814,5419,GOP
4198,1230,5536,GOP
3856,704,4675,GOP
12243,3872,16619,GOP
2824,1256,4165,GOP
1141,586,1777,GOP
918,129,1066,GOP
2460,786,3331,GOP
1585,497,2128,GOP
3577,1639,5372,GOP
1418,945,2454,GOP
1065,220,1319,GOP
5072,2510,7812,GOP
1257,2482,3804,DEM
1266,738,2070,GOP
688,104,812,GOP
258,804,1186,DEM
380,44,427,GOP
12110,2499,15050,GOP
652,392,1088,GOP
6994,2676,9959,GOP
830,317,1174,GOP
2522,1493,4136,GOP
3324,1333,4783,GOP
19974,7293,28246,GOP
1893,442,2374,GOP
11739,2169,14334,GOP
9870,2156,12145,GOP
33116,14149,48006,GOP
19407,6541,26405,GOP
26890,16497,44147,GOP
10862,14772,26059,DEM
20798,4651,25777,GOP
23560,9138,33088,GOP
16480,4380,21096,GOP
114392,69613,186737,GOP
10745,3251,14212,GOP
14589,5062,19972,GOP
39032,24076,64212,GOP
74570,34092,110480,GOP
15488,4697,20527,GOP
35726,13359,49860,GOP
12325,4125,16739,GOP
15436,4916,20686,GOP
202699,416176,625670,DEM
22004,4731,27134,GOP
13038,5981,19381,GOP
66356,57735,126070,GOP
22160,17493,40335,GOP
50797,31224,83311,GOP
9473,2975,12612,GOP
211237,409144,630577,DEM
15731,6664,22770,GOP
10645,2990,13799,GOP
34143,21201,56021,GOP
52072,34798,88643,GOP
13407,4577,18230,GOP
177886,246266,430929,DEM
26310,11757,38771,GOP
9949,3062,13247,GOP
5792,1768,7655,GOP
10479,4062,14764,GOP
15678,3799,19676,GOP
9737,3880,13824,GOP
10796,1994,12947,GOP
18956,7759,27190,GOP
11309,3311,14794,GOP
22828,10018,33362,GOP
22340,8589,31398,GOP
73278,55514,130509,GOP
20306,7489,28127,GOP
59514,33055,94210,GOP
17964,5055,23368,GOP
79520,75667,157437,GOP
81763,115411,200623,DEM
13835,5698,19855,GOP
59903,57641,118966,GOP
19023,8269,27818,GOP
64598,39800,105825,GOP
8316,2492,10951,GOP
19452,4030,23761,GOP
41371,15663,57972,GOP
5463,1605,7148,GOP
129034,135064,268505,DEM
5041,1725,6847,GOP
14077,4048,18457,GOP
27867,11971,40465,GOP
5135,1170,6343,GOP
14628,9008,24007,GOP
7086,2213,9467,GOP
12357,4098,16675,GOP
20593,7304,28271,GOP
9157,3110,12412,GOP
45990,35661,82872,GOP
17022,4493,21809,GOP
16412,3195,19921,GOP
41472,17640,59975,GOP
22278,10557,33299,GOP
18896,10596,30074,GOP
22609,9080,32047,GOP
17086,8266,25810,GOP
20422,4465,25258,GOP
111097,75904,189879,GOP
124833,151668,280473,DEM
55194,44519,101001,GOP
30458,12889,44015,GOP
21669,11141,33445,GOP
11650,3067,14965,GOP
4632,1331,6030,GOP
87988,46069,136100,GOP
22307,9243,32031,GOP
36759,16660,54283,GOP
13452,4842,18651,GOP
35757,30617,67597,GOP
8462,2733,11390,GOP
5585,1387,7108,GOP
1978,232,2262,GOP
4557,765,5389,GOP
1968,190,2178,GOP
6767,1048,7948,GOP
3136,688,3901,GOP
12344,3323,15976,GOP
7013,2670,9859,GOP
43550,16742,61940,GOP
14699,4470,19479,GOP
11223,6027,17714,GOP
4698,1082,5832,GOP
970,70,1054,GOP
66677,49827,119778,GOP
2091,374,2524,GOP
20905,13747,35631,GOP
2117,393,2572,GOP
4686,1217,6032,GOP
23294,6577,30505,GOP
8060,2369,10691,GOP
13557,3472,17245,GOP
2124,214,2359,GOP
1688,162,1873,GOP
16970,4919,22430,GOP
8878,1865,10922,GOP
18538,4144,23101,GOP
